freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.169823274424808E+011,-6.89E+00,8.149765121217156E+001,,,,
1.170023341113705E+011,-6.81E+00,4.337722045451290E+001,,,,
1.170223407802601E+011,-6.48E+00,3.627879224437856E+000,,,,
1.170423474491497E+011,-6.28E+00,-3.84E+01,,,,
1.170623541180394E+011,-6.38E+00,-8.01E+01,,,,
1.170823607869290E+011,-6.58E+00,-1.20E+02,,,,
1.171023674558186E+011,-6.57E+00,-1.60E+02,,,,
1.171223741247082E+011,-6.38E+00,1.599889506897973E+002,,,,
1.171423807935979E+011,-6.34E+00,1.181798660031929E+002,,,,
1.171623874624875E+011,-6.54E+00,7.709937874382278E+001,,,,
1.171823941313771E+011,-6.74E+00,3.761387137951812E+001,,,,
1.172024008002668E+011,-6.67E+00,-1.32E+00,,,,
1.172224074691564E+011,-6.40E+00,-4.10E+01,,,,
1.172424141380460E+011,-6.29E+00,-8.27E+01,,,,
1.172624208069356E+011,-6.38E+00,-1.24E+02,,,,
1.172824274758253E+011,-6.46E+00,-1.63E+02,,,,
1.173024341447149E+011,-6.33E+00,1.572249994178062E+002,,,,
1.173224408136045E+011,-6.13E+00,1.162295176613696E+002,,,,
1.173424474824942E+011,-6.13E+00,7.452612729125444E+001,,,,
1.173624541513838E+011,-6.30E+00,3.388487728632646E+001,,,,
1.173824608202734E+011,-6.34E+00,-5.25E+00,,,,
1.174024674891631E+011,-6.16E+00,-4.49E+01,,,,
1.174224741580527E+011,-5.94E+00,-8.56E+01,,,,
1.174424808269423E+011,-5.89E+00,-1.28E+02,,,,
1.174624874958319E+011,-6.08E+00,-1.69E+02,,,,
1.174824941647216E+011,-6.22E+00,1.518389138384667E+002,,,,
1.175025008336112E+011,-6.17E+00,1.121687586796406E+002,,,,
1.175225075025008E+011,-6.03E+00,7.170037959732788E+001,,,,
1.175425141713905E+011,-6.13E+00,3.033067940358749E+001,,,,
1.175625208402801E+011,-6.36E+00,-9.70E+00,,,,
1.175825275091697E+011,-6.44E+00,-4.82E+01,,,,
1.176025341780594E+011,-6.26E+00,-8.69E+01,,,,
1.176225408469490E+011,-6.01E+00,-1.27E+02,,,,
1.176425475158386E+011,-5.94E+00,-1.68E+02,,,,
1.176625541847282E+011,-5.96E+00,1.511656927351172E+002,,,,
1.176825608536179E+011,-5.95E+00,1.108115666036419E+002,,,,
1.177025675225075E+011,-5.90E+00,7.045788160704061E+001,,,,
1.177225741913971E+011,-5.94E+00,2.934413020285355E+001,,,,
1.177425808602868E+011,-6.11E+00,-1.09E+01,,,,
1.177625875291764E+011,-6.21E+00,-5.02E+01,,,,
1.177825941980660E+011,-6.13E+00,-8.94E+01,,,,
1.178026008669557E+011,-5.97E+00,-1.30E+02,,,,
1.178226075358453E+011,-5.95E+00,-1.71E+02,,,,
1.178426142047349E+011,-6.11E+00,1.476764987323701E+002,,,,
1.178626208736245E+011,-6.29E+00,1.080037872121542E+002,,,,
1.178826275425142E+011,-6.29E+00,6.902788765294812E+001,,,,
1.179026342114038E+011,-6.07E+00,2.873591932296927E+001,,,,
1.179226408802934E+011,-5.99E+00,-1.33E+01,,,,
1.179426475491831E+011,-6.15E+00,-5.48E+01,,,,
1.179626542180727E+011,-6.31E+00,-9.50E+01,,,,
1.179826608869623E+011,-6.25E+00,-1.35E+02,,,,
1.180026675558520E+011,-6.17E+00,-1.76E+02,,,,
1.180226742247416E+011,-6.30E+00,1.417286470660900E+002,,,,
1.180426808936312E+011,-6.58E+00,1.011588604115363E+002,,,,
