freq[Hz],db:Trc2_S21,ang:Trc2_S21
1.192630876958986E+011,-5.61E+00,-5.82E+01
1.192830943647883E+011,-5.77E+00,-9.90E+01
1.193031010336779E+011,-5.88E+00,-1.37E+02
1.193231077025675E+011,-5.60E+00,-1.75E+02
1.193431143714572E+011,-5.38E+00,1.462214338942780E+002
1.193631210403468E+011,-4.91E+00,1.048154003251150E+002
1.193831277092364E+011,-5.02E+00,6.226236539154940E+001
1.194031343781260E+011,-5.32E+00,2.209981761476283E+001
1.194231410470157E+011,-5.42E+00,-1.68E+01
1.194431477159053E+011,-5.12E+00,-5.44E+01
1.194631543847949E+011,-4.73E+00,-9.73E+01
1.194831610536846E+011,-4.89E+00,-1.41E+02
1.195031677225742E+011,-5.41E+00,1.774769217091905E+002
1.195231743914638E+011,-5.91E+00,1.397667417095150E+002
1.195431810603535E+011,-5.34E+00,1.029569026614295E+002
1.195631877292431E+011,-4.92E+00,5.932592068897874E+001
1.195831943981327E+011,-5.12E+00,1.549776534597980E+001
1.196032010670223E+011,-5.65E+00,-2.67E+01
1.196232077359120E+011,-6.31E+00,-6.36E+01
1.196432144048016E+011,-5.83E+00,-1.01E+02
1.196632210736912E+011,-5.46E+00,-1.44E+02
1.196832277425809E+011,-5.73E+00,1.731784627850122E+002
1.197032344114705E+011,-6.27E+00,1.331502939143049E+002
